"Rank","unitid","CONTACTED? (Y/N)","DATE OF CONTACT","RESPONSE? (Y/N/NO-RESPONSE)","IF NO, REASON? (OPEN RESPONSE)"
1,"154527","","","",""
2,"110334","","","",""
3,"171100","","","",""
4,"155317","","","",""
5,"204255","","","",""
6,"164465","","","",""
7,"123961","","","",""
8,"187666","","","",""
9,"108807","","","",""
10,"212911","","","",""
11,"230746","","","",""
12,"201885","","","",""
13,"490081","","","",""
14,"223427","","","",""
15,"114859","","","",""
16,"126748","","","",""
17,"184180","","","",""
18,"240727","","","",""
19,"126818","","","",""
20,"129020","","","",""
21,"174075","","","",""
22,"107080","","","",""
23,"181491","","","",""
24,"166629","","","",""
25,"212054","","","",""
26,"236188","","","",""
27,"170790","","","",""
28,"404426","","","",""
29,"236948","","","",""
30,"163462","","","",""
31,"156107","","","",""
32,"232946","","","",""
33,"153250","","","",""
34,"203368","","","",""
35,"446048","","","",""
36,"159391","","","",""
37,"113193","","","",""
38,"368364","","","",""
39,"155052","","","",""
40,"106397","","","",""
41,"143358","","","",""
42,"228778","","","",""
43,"233295","","","",""
44,"186645","","","",""
45,"167899","","","",""
46,"207500","","","",""
47,"153214","","","",""
48,"191649","","","",""
49,"144865","","","",""
50,"201654","","","",""
51,"172918","","","",""
52,"219356","","","",""
53,"461306","","","",""
54,"122889","","","",""
55,"239017","","","",""
56,"157085","","","",""
57,"122977","","","",""
58,"159647","","","",""
59,"218663","","","",""
60,"230782","","","",""
61,"238333","","","",""
62,"475097","","","",""
63,"363633","","","",""
64,"173647","","","",""
65,"144944","","","",""
66,"145646","","","",""
67,"175980","","","",""
68,"228723","","","",""
69,"146603","","","",""
70,"166850","","","",""
71,"100937","","","",""
72,"178396","","","",""
73,"239372","","","",""
74,"155487","","","",""
75,"209506","","","",""
76,"119137","","","",""
77,"119067","","","",""
78,"147004","","","",""
79,"482398","","","",""
80,"114938","","","",""
81,"236513","","","",""
82,"132657","","","",""
83,"183062","","","",""
84,"155423","","","",""
85,"182500","","","",""
86,"121345","","","",""
87,"104577","","","",""
88,"236638","","","",""
89,"452036","","","",""
90,"200156","","","",""
91,"117247","","","",""
92,"133526","","","",""
93,"139393","","","",""
94,"183044","","","",""
95,"153658","","","",""
96,"129941","","","",""
97,"137245","","","",""
98,"196699","","","",""
99,"169080","","","",""
100,"155399","","","",""
101,"209551","","","",""
102,"150400","","","",""
103,"111762","","","",""
104,"234915","","","",""
105,"216524","","","",""
106,"181464","","","",""
107,"217059","","","",""
108,"111920","","","",""
109,"149781","","","",""
110,"183859","","","",""
111,"128151","","","",""
112,"157809","","","",""
113,"122375","","","",""
114,"460464","","","",""
115,"120342","","","",""
116,"147660","","","",""
117,"180984","","","",""
118,"149842","","","",""
119,"153825","","","",""
120,"217484","","","",""
121,"174066","","","",""
122,"153384","","","",""
123,"168342","","","",""
124,"204796","","","",""
125,"150534","","","",""
126,"222992","","","",""
127,"195243","","","",""
128,"224323","","","",""
129,"238263","","","",""
130,"446394","","","",""
131,"190840","","","",""
132,"195030","","","",""
133,"457819","","","",""
134,"183071","","","",""
135,"240125","","","",""
136,"171535","","","",""
137,"147800","","","",""
138,"113856","","","",""
139,"195474","","","",""
140,"365213","","","",""
141,"213507","","","",""
